"plot_id","genus","specie","family","dbh","h"
10,"Cinnamomum","sellowianum","Lauraceae",15,16
10,"Cinnamomum","sellowianum","Lauraceae",21,16.5
10,"Cinnamomum","sellowianum","Lauraceae",21,16.5
10,"Prunus","brasiliensis","Rosaceae",32,17.5
10,"Araucaria","angustifolia","Araucariaceae",6,7
11,"Piptocarpha","axilaris","Asteraceae",18,16
11,"Prunus","brasiliensis","Rosaceae",13,15
11,"Ilex","paraguariensis","Aquifoliaceae",12,11.5
11,"Ilex","theizans","Aquifoliaceae",19,12.5
11,"Casearia","sylvestris","Salicaceae",10,10
11,"Casearia","sylvestris","Salicaceae",7,6
11,"Ilex","theizans","Aquifoliaceae",13,9
11,"Prunus","brasiliensis","Rosaceae",12,8
11,"Casearia","sylvestris","Salicaceae",7,7.5
11,"Cordyline","spectabilis","Asparagaceae",7,2
11,"Ocotea","porosa","Lauraceae",5,9
11,"Prunus","brasiliensis","Rosaceae",16,15
11,"Jacaranda","puberula","Bignoniaceae",7,5.5
11,"Myrcia","splendens","Myrtaceae",7,5.5
11,"Casearia","sylvestris","Salicaceae",6,6
11,"Piptocarpha","axilaris","Asteraceae",18,15
11,"Myrsine","umbellata","Primulaceae",6,6.5
11,"Drimys","brasiliensis","Winteraceae",7,6
11,"Vernonanthura","discolor","Asteraceae",7,5.5
11,"Cinnamomum","amoenum","Lauraceae",11,9
11,"Myrcia","splendens","Myrtaceae",31,17.5
11,"Mollinedia","clavigera","Monimiaceae",11,5.5
11,"Ilex","theizans","Aquifoliaceae",8,6
11,"Casearia","sylvestris","Salicaceae",6,5.5
11,"Mollinedia","clavigera","Monimiaceae",8,5.5
11,"Prunus","brasiliensis","Rosaceae",14,15
11,"Drimys","brasiliensis","Winteraceae",9,7
11,"Casearia","sylvestris","Salicaceae",10,11
11,"Maytenus","evonymoides","Celastraceae",9,4.5
11,"Cyathea","corcovadensis","Cyatheacaceae",18,2
11,"Dalbergia","frutescens","Fabaceae",6,16
12,"Ocotea","puberula","Lauraceae",12,17
12,"Myrcia","splendens","Myrtaceae",8,7.5
12,"Drimys","brasiliensis","Winteraceae",7,7
12,"Mollinedia","clavigera","Monimiaceae",8,4
12,"Prunus","brasiliensis","Rosaceae",13,12
12,"Prunus","brasiliensis","Rosaceae",17,15
12,"Prunus","brasiliensis","Rosaceae",14,15
12,"Mollinedia","clavigera","Monimiaceae",8,4.5
12,"Mollinedia","clavigera","Monimiaceae",7,4.5
12,"Myrcia","splendens","Myrtaceae",7,5
