plot;tree;dbh;h;family;specie
26;460;14,96056465;6,5;Fabaceae;Anadenanthera falcata
26;461;12,09577567;2,5;Myrtaceae;Myrcia sp1
26;462;15,91549431;7;Fabaceae;Anadenanthera falcata
26;463;14,00563499;7;Fabaceae;Anadenanthera falcata
26;465;7,002817496;3;Annonaceae;Annona coriacea
26;466;9,708451529;5;Malpighiaceae;Byrsonima verbascifolia
26;467;8,435211984;4;Bignoniaceae;Tabebuia aurea
26;468;10,02676141;6,5;Fabaceae;Himenaea courbaril
26;469;16,74310001;7,5;Fabaceae;Anadenanthera falcata
26;470;7,480282325;5;Vochysiaceae;Qualea parviflora
26;471;19,41690306;6;Sapotaceae;Pouteria torta
26;471;9,867606472;2,5;Sapotaceae;Pouteria torta
26;472;5,092958179;2;Sapotaceae;Pouteria ramiflora
27;475;13,68732511;6;Fabaceae;Leptolobium elegans
27;476;5,411268065;5,5;Malpighiaceae;Byrsonima coccolobifolia
27;477;8,276057041;5,5;Connaraceae;Connarus suberosus
27;478;19,41690306;11;Fabaceae;Leptolobium elegans
27;479;14,64225476;7;Vochysiaceae;Qualea grandiflora
27;480;12,41408556;6;Sapotaceae;Pouteria torta
27;481;10,02676141;7;Vochysiaceae;Qualea parviflora
27;482;6,366197724;5;Lythraceae;Lafoensia pacari
27;483;5,411268065;5;Malpighiaceae;Byrsonima verbascifolia
27;484;7,480282325;3,5;Annonaceae;Annona coriacea
27;485;26,41972055;11;Vochysiaceae;Qualea grandiflora
27;486;34,37746771;12;Vochysiaceae;Qualea parviflora
27;487;5,411268065;4;Myrtaceae;Myrcia sp1
27;488;10,18591636;6;Sapotaceae;Pouteria torta
27;489;7,480282325;6;Malpighiaceae;Byrsonima coccolobifolia
27;490;5,092958179;2;Bignoniaceae;Handroanthus albus
27;491;8,116902098;6;Fabaceae;Machaerium acutifoium
27;492;10,66338119;7;Fabaceae;Leptolobium elegans
27;493;6,366197724;7;Malpighiaceae;Byrsonima coccolobifolia
27;494;20,05352283;13;Vochysiaceae;Qualea parviflora
27;495;9,708451529;7,5;Vochysiaceae;Qualea grandiflora
27;496;6,207042781;5;Myrtaceae;Eugenia punicifolia
27;497;14,00563499;9;Fabaceae;Leptolobium elegans
28;498;7,321127382;4,5;Fabaceae;Leptolobium elegans
28;499;10,82253613;5;Malpighiaceae;Byrsonima pachyphylla
28;499;5,570423008;2,5;Malpighiaceae;Byrsonima pachyphylla
28;500;14,64225476;7;Vochysiaceae;Vochysia cinnamomea
28;501;20,6901426;8;Vochysiaceae;Vochysia cinnamomea
28;502;6,207042781;4,5;Annonaceae;Annona coriacea
28;503;6,366197724;4,5;Fabaceae;Leptolobium elegans
28;504;16,55211408;9;Vochysiaceae;Qualea parviflora
28;505;5,729577951;2;Myrtaceae;Myrcia sp1
